conversation_id,start_time,end_time,turn_count,all_request_times,timeZone,isEscalated,isForMPU,isMPUCaseCreated,mpuCaseCreationNumber,is_mpu_eligible,ineligibleReason,Abandoned_flag,End_Interaction,Stage_Last_Completed_Escalation,Caller_Type,Intent_Identified,MPU_Intent_Identification_retry,MPU_AHT,Auth_Sub_module1_AHT,Auth_Sub_module2_AHT,Auth_Sub_moduleN_AHT,MPU_Sub_module1_AHT,MPU_Sub_module2_AHT,MPU_Sub_moduleN_AHT,MPU_Code,Number_of_Question_Prompts_from_AI,Number_of_Successful_Prompts_from_AI,Number_of_AI_Prompts_Exception_handling,AI_Prompts_Auth,AI_Prompts_Intent_Identification,AI_Prompts_MPU,Prompts_Exception_Handling_Auth,Prompts_Exception_Handling_Intent_Identification,Prompts_Exception_Handling_MPU,Handled_by_AI_flag,Stage_Last_handled_abandonment,Retry_of_authentication_VA_flag,Retry_of_MPU_resolution_VA_flag,Auth_Retry_Prompt,MPU_Retry_Prompt,Type,ASAbandonment_by_customer_flag,Authentication_by_VA_success_flag,Authentication_by_VA_failure_reason
08159URk9qaSWW4Vlsh219HcQ,2025-09-17 10:01:42.518065 UTC,2025-09-17 10:02:22.846791 UTC,4,2025-09-17T10:01:42+00:00|2025-09-17T10:01:54+00:00|2025-09-17T10:02:09+00:00|2025-09-17T10:02:22+00:00,,false,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
103sP7m-NVySROocAU2vecD8g,2025-09-17 10:05:02.492136 UTC,2025-09-17 10:08:49.597776 UTC,22,2025-09-17T10:05:02+00:00|2025-09-17T10:05:15+00:00|2025-09-17T10:05:29+00:00|2025-09-17T10:05:39+00:00|2025-09-17T10:05:47+00:00|2025-09-17T10:05:56+00:00|2025-09-17T10:06:03+00:00|2025-09-17T10:06:20+00:00|2025-09-17T10:06:30+00:00|2025-09-17T10:06:40+00:00|2025-09-17T10:06:47+00:00|2025-09-17T10:06:56+00:00|2025-09-17T10:07:03+00:00|2025-09-17T10:07:19+00:00|2025-09-17T10:07:35+00:00|2025-09-17T10:07:46+00:00|2025-09-17T10:07:57+00:00|2025-09-17T10:08:04+00:00|2025-09-17T10:08:14+00:00|2025-09-17T10:08:21+00:00|2025-09-17T10:08:38+00:00|2025-09-17T10:08:49+00:00,,false,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
119lx_Z_GR5QkeeevbOB6Qhhw,2025-09-17 10:16:22.523272 UTC,2025-09-17 10:17:28.824199 UTC,5,2025-09-17T10:16:22+00:00|2025-09-17T10:16:33+00:00|2025-09-17T10:16:47+00:00|2025-09-17T10:17:02+00:00|2025-09-17T10:17:28+00:00,,false,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
0819ALq8IbbTDS0KVx3nr2zJQ,2025-09-17 10:35:15.718598 UTC,2025-09-17 10:39:41.721334 UTC,25,2025-09-17T10:35:15+00:00|2025-09-17T10:35:26+00:00|2025-09-17T10:35:40+00:00|2025-09-17T10:36:01+00:00|2025-09-17T10:36:12+00:00|2025-09-17T10:36:37+00:00|2025-09-17T10:36:48+00:00|2025-09-17T10:37:02+00:00|2025-09-17T10:37:18+00:00|2025-09-17T10:37:26+00:00|2025-09-17T10:37:40+00:00|2025-09-17T10:37:48+00:00|2025-09-17T10:38:02+00:00|2025-09-17T10:38:10+00:00|2025-09-17T10:38:17+00:00|2025-09-17T10:38:25+00:00|2025-09-17T10:38:39+00:00|2025-09-17T10:38:46+00:00|2025-09-17T10:38:54+00:00|2025-09-17T10:39:01+00:00|2025-09-17T10:39:08+00:00|2025-09-17T10:39:16+00:00|2025-09-17T10:39:23+00:00|2025-09-17T10:39:32+00:00|2025-09-17T10:39:41+00:00,,false,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
065EERxTi_7RVqeIHEFwJkNLA,2025-09-17 10:35:27.999111 UTC,2025-09-17 10:35:27.999111 UTC,1,2025-09-17T10:35:27+00:00,,false,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
0657PGCJOhyQO2Lu8E-uFU8cA,2025-09-17 11:01:11.952442 UTC,2025-09-17 11:03:03.93324 UTC,10,2025-09-17T11:01:11+00:00|2025-09-17T11:01:22+00:00|2025-09-17T11:01:34+00:00|2025-09-17T11:01:58+00:00|2025-09-17T11:02:09+00:00|2025-09-17T11:02:22+00:00|2025-09-17T11:02:30+00:00|2025-09-17T11:02:42+00:00|2025-09-17T11:02:52+00:00|2025-09-17T11:03:03+00:00,,false,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
d2ef3596-cf6c-4ebb-a909-f0f7974b1645,2025-09-17 14:50:53.659936 UTC,2025-09-17 14:51:14.083978 UTC,3,2025-09-17T14:50:53+00:00|2025-09-17T14:51:02+00:00|2025-09-17T14:51:14+00:00,America/Los_Angeles,false,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
f394c35b-9be7-45ba-9595-7b3bbeae2ad1,2025-09-17 19:20:33.32116 UTC,2025-09-17 19:21:09.889412 UTC,6,2025-09-17T19:20:33+00:00|2025-09-17T19:20:39+00:00|2025-09-17T19:20:49+00:00|2025-09-17T19:20:52+00:00|2025-09-17T19:20:58+00:00|2025-09-17T19:21:09+00:00,America/Los_Angeles,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5b52c345-101d-466a-ba35-53637aff516e,2025-09-17 19:32:04.687072 UTC,2025-09-17 19:32:12.961398 UTC,6,2025-09-17T19:32:04+00:00|2025-09-17T19:32:06+00:00|2025-09-17T19:32:07+00:00|2025-09-17T19:32:09+00:00|2025-09-17T19:32:11+00:00|2025-09-17T19:32:12+00:00,America/Los_Angeles,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
aaff00a6-d3dd-48b2-bb6c-c9e63d1b111b,2025-09-17 19:41:58.014715 UTC,2025-09-17 19:42:06.882185 UTC,6,2025-09-17T19:41:58+00:00|2025-09-17T19:42:01+00:00|2025-09-17T19:42:02+00:00|2025-09-17T19:42:03+00:00|2025-09-17T19:42:05+00:00|2025-09-17T19:42:06+00:00,America/Los_Angeles,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
