conversation_id,start_time,end_time,turn_count,Date,Status,Status2,Escalated,Escalated_2,Escalation Reason,timeZone,Abandoned,Abandoned_during_VA1,Abandoned_during_VA,Abandonment by customer - flag,Abandonment_Last_Completed_Stage,Authentication by VA success flag,Authentication by VA failure reason,AHT,AHT_Bucket,MPU_AHT,Verification_AHT,Intent_Identified_1,Intent_Identified_2,Intent_Identified_3,Intent_Identified_4,Intent_Identified_5,Intent_Identified_N,Intent_Identified_1stattempt_1,Intent_Identified_1stattempt_2,Intent_Identified_1stattempt_3,Intent_Identified_1stattempt_4,Intent_Identified_1stattempt_5,Intent_Identified_1stattempt_N,MPU_Intent_Identified_Flag,MPU_Intent_Identified_1stattempt_Flag,Here_for_MPU_Flag,Out of scope intent,MPU_Eligible_flag,MPU_Case_Closure,Number of Prompts from AI,Number of Successful Prompts from AI,Missed_Utterance,Missed_Utterance_Auth,Missed_Utterance_IntentIdentification,Missed_Utterance_MPU,AI_Prompts_Auth,AI_Prompts_IntentIdentification,AI_Prompts_MPU,Handled by Agentic AI flag,Retry of authentication flag,Retry of MPU flag,Auth_Retry_Prompt,MPU_Retry_Prompt,Half_hourly_interval,Caller_Type
08159URk9qaSWW4Vlsh219HcQ,2025-09-17 10:01:42.518065 UTC,2025-09-17 10:02:22.846791 UTC,4,2025-09-17,OPEN,OPEN,false,false,User asked about In Domain Negative - help_submit_pa,,0,,1,1,Address Match,0,,40,30-60 sec,40,7,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
103sP7m-NVySROocAU2vecD8g,2025-09-17 10:05:02.492136 UTC,2025-09-17 10:08:49.597776 UTC,22,2025-09-17,OPEN,OPEN,false,false,User asked about In Domain Negative - help_submit_pa,,0,,1,1,Address Match,0,,227,>120 sec,227,4,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
119lx_Z_GR5QkeeevbOB6Qhhw,2025-09-17 10:16:22.523272 UTC,2025-09-17 10:17:28.824199 UTC,5,2025-09-17,OPEN,OPEN,false,false,User selected Pick form in main menu,,0,,1,1,Address Match,0,,66,60-120 sec,66,5,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
0819ALq8IbbTDS0KVx3nr2zJQ,2025-09-17 10:35:15.718598 UTC,2025-09-17 10:39:41.721334 UTC,25,2025-09-17,OPEN,OPEN,false,false,User chooses More Help in Password reset,,0,,1,1,MPU request raised,0,,266,>120 sec,266,1,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
065EERxTi_7RVqeIHEFwJkNLA,2025-09-17 10:35:27.999111 UTC,2025-09-17 10:35:27.999111 UTC,1,2025-09-17,OPEN,OPEN,false,false,User was not happy with the information provided by Amelia.,,0,,1,1,ANI based Auth,0,,0,<5 sec,0,1,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
0657PGCJOhyQO2Lu8E-uFU8cA,2025-09-17 11:01:11.952442 UTC,2025-09-17 11:03:03.933240 UTC,10,2025-09-17,OPEN,OPEN,false,false,User was not happy with the information provided by Amelia.,,0,,1,1,Intent Captured,0,,111,60-120 sec,111,2,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
d2ef3596-cf6c-4ebb-a909-f0f7974b1645,2025-09-17 14:50:53.659936 UTC,2025-09-17 14:51:14.083978 UTC,3,2025-09-17,OPEN,OPEN,false,false,User chooses More Help in Password reset,America/Los_Angeles,0,,1,1,MPU request raised,0,,20,>30 sec,20,1,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
f394c35b-9be7-45ba-9595-7b3bbeae2ad1,2025-09-17 19:20:33.321160 UTC,2025-09-17 19:21:09.889412 UTC,6,2025-09-17,OPEN,OPEN,,,User was not happy with the information provided by Amelia.,America/Los_Angeles,0,,1,1,Intent Captured,0,,36,30-60 sec,36,4,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
5b52c345-101d-466a-ba35-53637aff516e,2025-09-17 19:32:04.687072 UTC,2025-09-17 19:32:12.961398 UTC,6,2025-09-17,OPEN,OPEN,,,User chooses More Help in Password reset,America/Los_Angeles,0,,1,1,Eligibility for raising MPU request,0,,8,>30 sec,8,8,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
aaff00a6-d3dd-48b2-bb6c-c9e63d1b111b,2025-09-17 19:41:58.014715 UTC,2025-09-17 19:42:06.882185 UTC,6,2025-09-17,OPEN,OPEN,,,User asked about In Domain Negative - help_submit_pa,America/Los_Angeles,0,,1,1,MPU request raised,0,,8,>30 sec,8,7,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
065R72NOd4gT-iRtimouXP4hA,2025-09-18 08:05:56.208094 UTC,2025-09-18 08:06:57.779194 UTC,4,2025-09-18,,,,,User selected Pick form in main menu,,0,,1,1,Intent Captured,0,,61,60-120 sec,61,9,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
5de9e791-854a-49e4-881d-28286e311a36,2025-09-18 13:22:32.602113 UTC,2025-09-18 13:22:32.602113 UTC,1,2025-09-18,,,,,User asked about In Domain Negative - help_submit_pa,America/Los_Angeles,0,,1,1,Eligibility for raising MPU request,0,,0,<5 sec,0,5,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
ff4914e1-f03e-4efa-8019-7ef0194128a0,2025-09-18 13:29:51.373245 UTC,2025-09-18 13:29:51.373245 UTC,1,2025-09-18,,,,,User asked about In Domain Negative - help_submit_pa,America/Los_Angeles,0,,1,1,ANI based Auth,0,,0,<5 sec,0,2,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
b87f5e55-f8de-4807-a5a7-fbc76353d6fa,2025-09-18 13:30:10.574888 UTC,2025-09-18 13:30:10.574888 UTC,1,2025-09-18,,,,,User chooses More Help in Password reset,America/Los_Angeles,0,,1,1,Intent Captured,0,,0,<5 sec,0,7,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,testdata,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,testdata,testdata,0,user
