conversation id,Date,Status,Escalated,Escalated_2,Escalation Reason,Abandoned,Abandoned_during_VA,Abandonment by customer - flag,Abandonment_Last_Completed_Stage,Authentication by VA success flag,Authentication by VA failure reason,AHT,AHT_Bucket,MPU_AHT,Verification_AHT,Intent_Identified_1,Intent_Identified_2,Intent_Identified_3,Intent_Identified_4,Intent_Identified_5,Intent_Identified_N,Intent_Identified_1stattempt_1,Intent_Identified_1stattempt_2,Intent_Identified_1stattempt_3,Intent_Identified_1stattempt_4,Intent_Identified_1stattempt_5,Intent_Identified_1stattempt_N,MPU_Intent_Identified_Flag,MPU_Intent_Identified_1stattempt_Flag,Here_for_MPU_Flag,Out of scope intent,MPU_Eligible_flag,MPU_Case_Closure,Number of Prompts from AI,Number of Successful Prompts from AI,Missed_Utterance,Missed_Utterance_Auth,Missed_Utterance_IntentIdentification,Missed_Utterance_MPU,AI_Prompts_Auth,AI_Prompts_IntentIdentification,AI_Prompts_MPU,Handled by Agentic AI flag,Retry of authentication flag,Retry of MPU flag,Auth_Retry_Prompt,MPU_Retry_Prompt,Half_hourly_interval,Caller_Type
08159URk9qaSWW4Vlsh219HcQ,2025-09-17 10:01:42.518065 UTC,0,false,0,0,,0,,0,,,40,30-60 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103sP7m-NVySROocAU2vecD8g,2025-09-17 10:05:02.492136 UTC,0,false,0,0,,0,,0,,,227,>120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119lx_Z_GR5QkeeevbOB6Qhhw,2025-09-17 10:16:22.523272 UTC,0,false,0,0,,0,,0,,,66,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0819ALq8IbbTDS0KVx3nr2zJQ,2025-09-17 10:35:15.718598 UTC,0,false,0,0,,0,,0,,,266,>120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
065EERxTi_7RVqeIHEFwJkNLA,2025-09-17 10:35:27.999111 UTC,0,false,0,0,,0,,0,,,0,0-5 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0657PGCJOhyQO2Lu8E-uFU8cA,2025-09-17 11:01:11.952442 UTC,0,false,0,0,,0,,0,,,111,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d2ef3596-cf6c-4ebb-a909-f0f7974b1645,2025-09-17 14:50:53.659936 UTC,0,false,0,0,,0,,0,,,20,5-30 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f394c35b-9be7-45ba-9595-7b3bbeae2ad1,2025-09-17 19:20:33.321160 UTC,0,,0,0,,0,,0,,,36,30-60 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5b52c345-101d-466a-ba35-53637aff516e,2025-09-17 19:32:04.687072 UTC,0,,0,0,,0,,0,,,8,5-30 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aaff00a6-d3dd-48b2-bb6c-c9e63d1b111b,2025-09-17 19:41:58.014715 UTC,0,,0,0,,0,,0,,,8,5-30 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
065R72NOd4gT-iRtimouXP4hA,2025-09-18 08:05:56.208094 UTC,0,,0,0,,0,,0,,,61,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5de9e791-854a-49e4-881d-28286e311a36,2025-09-18 13:22:32.602113 UTC,0,,0,0,,0,,0,,,0,0-5 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ff4914e1-f03e-4efa-8019-7ef0194128a0,2025-09-18 13:29:51.373245 UTC,0,,0,0,,0,,0,,,0,0-5 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b87f5e55-f8de-4807-a5a7-fbc76353d6fa,2025-09-18 13:30:10.574888 UTC,0,,0,0,,0,,0,,,0,0-5 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2233a8f3-d5aa-45ce-8c5b-3869c56bd660,2025-09-18 13:30:44.130092 UTC,0,,0,0,,0,,0,,,0,0-5 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4037ce37-a69f-40cf-8b45-a3c9acfa96c9,2025-09-18 13:31:00.116544 UTC,0,,0,0,,0,,0,,,0,0-5 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010683f7-7177-4c28-9e88-4ee6114c2e6c,2025-09-18 13:31:34.695307 UTC,0,,0,0,,0,,0,,,0,0-5 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047d88d-9825-483a-98fa-15c8356a0c45,2025-09-18 13:31:41.187708 UTC,0,,0,0,,0,,0,,,0,0-5 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1cb9f0a-6943-4848-ac24-34a962cba221,2025-09-18 13:36:29.380301 UTC,0,,0,0,,0,,0,,,0,0-5 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383a2dc9-839b-4c32-987c-4058866f6bdb,2025-09-18 13:39:44.644822 UTC,0,,0,0,,0,,0,,,156,>120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c92ad55c-df40-459f-afcc-555881900d44,2025-09-18 13:43:33.419944 UTC,0,false,0,0,,0,,0,,,262,>120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
065TK4rROyWTKalfm-sTD2nFA,2025-09-18 16:27:24.551050 UTC,0,,0,0,,0,,0,,,17,5-30 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
065ofFx-5uMS86rgd8agIM4LA,2025-09-18 16:35:15.510712 UTC,0,,0,0,,0,,0,,,0,0-5 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
065YvU1u69vTs62XG50HEl6WA,2025-09-18 16:37:47.185766 UTC,0,,0,0,,0,,0,,,15,5-30 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19029efa-f1dd-4ff2-97b1-4240f320234b,2025-09-18 17:07:00.025539 UTC,0,,0,0,,0,,0,,,30,5-30 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b66ab441-f985-4418-a3a4-a4b01b94e8bb,2025-09-18 17:17:22.548094 UTC,0,,0,0,,0,,0,,,8,5-30 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189b9b15-84c0-4979-8647-8206e12b1ec6,2025-09-18 17:30:15.805300 UTC,0,,0,0,,0,,0,,,93,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142afb6e-4248-4a60-8fcd-da7a7cca8b04,2025-09-18 18:01:13.826504 UTC,0,,0,0,,0,,0,,,95,60-120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d46ee379-110b-4083-a0ef-1f7455149dd4,2025-09-18 18:05:39.491285 UTC,0,,0,0,,0,,0,,,959,>120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c07d6cb2-e7d0-445c-8efb-3919aa10a375,2025-09-18 19:00:50.746836 UTC,0,,0,0,,0,,0,,,0,0-5 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ec8c118-f100-4a28-9d50-7769a313c03d,2025-09-18 19:55:08.268221 UTC,0,,0,0,,0,,0,,,45,30-60 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
081srHEQT-GTuiy4QfjAXw7CQ,2025-09-18 19:56:40.351808 UTC,0,,0,0,,0,,0,,,164,>120 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e258200c-fab4-4e20-aa75-c263d45434d4,2025-09-18 20:11:26.674496 UTC,0,,0,0,,0,,0,,,22,5-30 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
065WMVhLZjnSyKhP_wcMO5zmA,2025-09-18 20:32:43.451477 UTC,0,,0,0,,0,,0,,,11,5-30 sec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
