filename,transcript,csat_score,csat_reasoning,inserted_date,churn_propensity,churn_signals,churn_reasoning,emotion,emotion_reasoning,o1,o2,o3,o4,o5,al1,al2,e1,e2,e3,rp1,rp2,rp3,cr1,cr2,cr3,se1,se2,se3,se4,se5,ess1,ess2,ess3,ess4,rl1,acus1,acus2,acus3,acus4,ci1,ci2,agent_behavior_score,script_adherence,escalation_rate,summary,l2_clusters,complexity_score,l3_intents,l1_cluster,proposed,resolution,resolutiondescription,aht_minutes,agent_name,skill_id,queue,conversation_date,industry,agent_id,wait_time,case_id,queue_name,channel,hold_time,queue_group,bu,is_resolved,is_escelation,nps,nps_bucket,aht_bucket,complexity_bucket,proposed_of_automation,ownership,active_listening,empathy,right_probing,agent_behavior_score_bkt,customer_relationship,set_expectation,encourage_self_service,aid_cross_up_sell,continuous_improvement,recognise_loyalty,is_sla_breach,aht_more_than_expected,is_fcr,is_adandonment,contact_id
transcript_1,"""AGENT
     00:00
     Hello good afternoon.
     CUSTOMER
     00:07
     good afternoon
     AGENT
     00:10
     How can I assist you today?
     CUSTOMER
     00:15
     I had an accident last week and I need to file a claim.
     AGENT
     00:20
     Sorry to hear that. Can you please provide me with your policy number so I can assist you with the claim process?
     CUSTOMER
     00:27
     It's 123456.
     AGENT
     00:30
     Thank you. I've located your policy. Can you please tell me more about the accident? What happened?
     CUSTOMER
     00:40
     I was driving home from work and another car ran a red light and hit me.
     AGENT
     00:47
     I'm so sorry to hear that. Were you injured in the accident?
     CUSTOMER
     00:52
     No, I was lucky. Just some damage to my car.
     AGENT
     00:55
     Okay. I'm going to guide you through the claim process. I'll need to ask you some more questions. Can you please provide me with the date and time of the accident?
     CUSTOMER
     01:02
     It was last Wednesday at 5 pm.
     AGENT
     01:05
     And do you have the other driver's information?
     CUSTOMER
     01:10
     Yes, I have their insurance information and a police report.
     AGENT
     01:15
     That's great. I'm going to go ahead and file the claim for you. You should receive an email with the claim number and further instructions within the next 24 hours.
     CUSTOMER
     01:22
     Okay, that sounds good. Thank you for your help.
     AGENT
     01:25
     You're welcome. Is there anything else I can assist you with today?
     CUSTOMER
     01:30
     No, that's all. Thank you again.
     AGENT
     01:32
     You're welcome. Have a great day.""",8.0,The agent was helpful and guided me through the claim process in a clear and efficient manner.,2026-02-26,none,,The customer is calling to file a claim and the agent is assisting them with the process. The tone is neutral and there is no indication of frustration or dissatisfaction.,joy,"The customer expresses gratitude and appreciation for the help received, indicating a positive emotional tone.",0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.6305555555555555,0.7,0.35,"The customer contacted the agent to file a claim for a car accident that occurred last week. The agent guided the customer through the claim process, requesting necessary information such as policy number, accident details, and other driver's information. The agent filed the claim and informed the customer that they would receive an email with further instructions within 24 hours.",FNOL & Filing,10.0,Accidentdamage,Claims & FNOL,,claimFiled,Claim filed refers to the submission of a request for coverage or compensation under an insurance policy.,9.699999809265137,Olivia Davis,1183,104,2026-02-03,Insurance,5013,0.37,CASE-20260203-0001,Policy Service,call,0.22,Policy,Retail,true,No,16.0,High NPS,medium,high,0,100.0,50.0,100.0,100.0,low,100.0,100.0,0.0,0.0,0,100.0,0,No,yes,yes,
transcript_2,"""
     AGENT
     00:00
     Hello good afternoon.
     CUSTOMER
     00:07
     good afternoon, I'm calling to report a breakdown with my washing machine. It's not turning on at all.
     AGENT
     00:15
     Sorry to hear that. Can you please provide me with the model number and the serial number of your washing machine?
     CUSTOMER
     00:25
     Yeah, it's model number WM1234 and serial number SN123456. And I'm really frustrated because I've had this machine for only two years and it's already broken down on me.
     AGENT
     00:40
     I understand your frustration, sir. I'm going to go ahead and report this breakdown. Can you please tell me a little bit more about what's happening when you try to turn it on? Is there any error message or anything?
     CUSTOMER
     00:55
     No, there's no error message. It just won't turn on. I've tried unplugging it and plugging it back in, but nothing's working. And like I said, it's only two years old. I expect more from your company.
     AGENT
     01:10
     I apologize for the inconvenience, sir. I'm going to go ahead and schedule a technician to come out and take a look at it. Would you be available for them to come out tomorrow or Wednesday?
     CUSTOMER
     01:20
     Yeah, tomorrow's fine. But I better not have to pay for this. This is your company's fault, not mine.
     AGENT
     01:30
     I understand, sir. We'll take care of the repair costs. I just need to confirm your address and contact information to schedule the appointment.
     CUSTOMER
     01:40
     Yeah, it's 123 Main St, Anytown USA. And my phone number is 555-555-5555.
     AGENT
     01:50
     Alright, sir. I've scheduled the appointment for tomorrow. Someone will be out to take a look at your washing machine between 10am and 2pm. Is there anything else I can assist you with today?
     CUSTOMER
     02:00
     No, that's it. Just get this fixed.
     AGENT
     02:05
     Alright, sir. We'll get it taken care of. Thank you for calling us today.
     CUSTOMER
     02:10
     Yeah, yeah. Thanks.
     """,4.0,"The customer was frustrated with the breakdown of their two-year-old washing machine and felt that the company was at fault, which negatively impacted their satisfaction with the conversation.",2026-02-26,medium,I expect more from your company.,"The customer is frustrated with the service and has high expectations from the company, which indicates a medium level of churn.",anger,"The customer is expressing frustration and blame towards the company, indicating anger.",1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0.5694444444444444,0.89,0.24,"A customer calls to report a breakdown of their 2-year-old washing machine, which won't turn on. The agent apologizes, takes down the model and serial numbers, and schedules a technician to visit the customer's home the next day to repair the machine at no cost to the customer.",Profile & Address Updates,1.2,Appliancefailure,Policy & Profile Management,,repairScheduled,Repair scheduled refers to the arrangement of a service appointment to fix a malfunctioning item.,10.399999618530273,Olivia Davis,1933,112,2025-12-19,Insurance,5013,0.44,CASE-20251219-0002,Renewals,call,0.28,Policy,Retail,true,No,8.0,High NPS,medium,low,1,100.0,50.0,0.0,100.0,low,100.0,100.0,33.33333333333333,0.0,0,100.0,1,Yes,yes,no,
transcript_3,"""
     AGENT
     00:00
     Hello good afternoon.
     CUSTOMER
     00:07
     good afternoon. I'm calling about a new claim I need to file. I've been trying to do it online but your website is useless. I've been trying for hours and I can't get past the first step.
     AGENT
     00:23
     I apologize for the inconvenience. Can you please tell me more about the issue you're facing on our website?
     CUSTOMER
     00:30
     The issue is that it's not working! I've tried different browsers, different devices, and I still can't get past the first step. It's ridiculous.
     AGENT
     00:42
     I understand your frustration. Let me see if I can assist you with filing the claim over the phone. Can you please provide me with your policy number?
     CUSTOMER
     00:50
     It's 123456. And I want to know why your website doesn't work. This is unacceptable.
     AGENT
     01:00
     I apologize again for the issue. I've checked on our system and it seems that there was a technical glitch earlier today. Our team is working on resolving it. In the meantime, I can assist you with filing the claim.
     CUSTOMER
     01:12
     A technical glitch? That's just great. So, you're telling me that I wasted hours of my time because of your company's incompetence?
     AGENT
     01:23
     I understand why you're upset. I'm going to do my best to assist you with the claim. Can you please tell me more about the incident that led to the claim?
     CUSTOMER
     01:35
     Fine. It was a car accident. The other driver was at fault and I need to get my car repaired.
     AGENT
     01:45
     Okay. I've got all the necessary information. I'm going to go ahead and file the claim for you. You should receive an email with the claim number and further instructions within the next 24 hours.
     CUSTOMER
     02:00
     And what about the website? When is it going to be fixed?
     AGENT
     02:07
     Our team is working on resolving the issue as soon as possible. I'll make sure to escalate the issue and get an update for you.
     CUSTOMER
     02:15
     Unbelievable. I'm going to have to call back and check on the status of my claim because I don't trust your company to get it right.
     AGENT
     02:23
     I understand your concerns. You can always reach out to us if you have any questions or concerns about your claim. Is there anything else I can assist you with today?
     CUSTOMER
     02:30
     No, that's it. Just get my claim processed correctly.
     AGENT
     02:35
     I will make sure to follow up on your claim and ensure it's processed correctly. Thank you for your patience and cooperation.
     """,2.0,"The customer's experience was marred by the company's website being down for an extended period, which led to frustration and a lack of trust in the company's ability to process the claim correctly.",2026-02-26,medium,I don't trust your company to get it right,"The customer is angry and frustrated with the service, and has called before but the issue was not resolved, making them question the company's competence.",anger,"The customer is expressing frustration and distrust towards the company, indicating anger.",0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5349999999999999,0.57,0.46,"A customer calls to file a new claim, but is having trouble with the company's website. The agent apologizes for the inconvenience and offers to assist with filing the claim over the phone. The customer is frustrated and expresses distrust in the company's ability to process the claim correctly. The agent assures the customer that they will follow up and ensure the claim is processed correctly.",FNOL & Filing,1.4,Technicalglitch,Claims & FNOL,,claimFiled,ClaimFiled refers to the process of submitting a request for compensation or coverage under an insurance policy.,11.600000381469727,Lucas Moore,1966,103,2025-12-18,Insurance,5010,0.56,CASE-20251218-0003,New Policy,call,0.38,Policy,Retail,true,No,4.0,Medium NPS,medium,low,1,100.0,50.0,50.0,100.0,low,100.0,66.66666666666666,0.0,0.0,0,100.0,1,Yes,yes,yes,
transcript_4,"""AGENT
     00:00
     Hello good afternoon.
     CUSTOMER
     00:07
     good afternoon
     AGENT
     00:10
     How can I assist you today?
     CUSTOMER
     00:15
     I'm interested in getting a quote for my car insurance.
     AGENT
     00:20
     I'd be happy to help you with that. Can you please provide me with some information about your vehicle, such as the make, model, and year?
     CUSTOMER
     00:30
     It's a 2018 Honda Civic.
     AGENT
     00:35
     Okay, and what's your current insurance situation? Do you have an existing policy or are you looking to switch?
     CUSTOMER
     00:42
     I'm looking to switch. I'm not happy with my current provider.
     AGENT
     00:47
     I understand. We can definitely provide you with a competitive quote. Based on the information you've provided, I can offer you a premium of $120 per month.
     CUSTOMER
     00:55
     That sounds reasonable. What does that premium include?
     AGENT
     01:00
     Our premium includes comprehensive coverage, collision coverage, and liability coverage. We also offer additional features such as roadside assistance and rental car coverage.
     CUSTOMER
     01:08
     That sounds good. What's the deductible for the comprehensive coverage?
     AGENT
     01:12
     The deductible for comprehensive coverage is $500.
     CUSTOMER
     01:17
     Okay, that's acceptable. What's the process for switching to your insurance provider?
     AGENT
     01:22
     We can assist you with the switching process. We'll need to gather some additional information from you, and then we can finalize the policy and get you switched over.
     CUSTOMER
     01:30
     Sounds good. I'm ready to move forward.
     AGENT
     01:33
     Great! I'll get the paperwork started. We'll be in touch with you shortly to finalize the details.
     CUSTOMER
     01:38
     Thank you for your help.
     AGENT
     01:40
     You're welcome. It was my pleasure to assist you. We'll be in touch soon.""",8.0,"The agent provided clear and concise information about the premium and coverage, and was able to address my concerns and questions in a professional manner.",2026-02-26,low,I'm not happy with my current provider.,"The customer is looking to switch insurance providers due to dissatisfaction with their current provider, but the tone is not angry or frustrated, and the issue is being resolved.",joy,"The customer expresses genuine emotional happiness and relief caused by the outcome of the call, showing appreciation for the help received.",0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.5533333333333333,0.79,0.37,"A customer inquires about getting a quote for their 2018 Honda Civic car insurance, and the agent provides a premium of $120 per month, explaining the coverage and features included. The customer is satisfied and decides to move forward with the switching process.",Billing Issues & Corrections,7.42,Providerdissatisfaction,Billing & Payments,,quoteProvided,Quote provided refers to the agent giving the customer a detailed insurance quote including premium and coverage details.,7.5,Noah Thomas,1462,107,2026-01-06,Insurance,5012,0.2,CASE-20260106-0004,Claims Status,call,0.1,Claims,Retail,true,No,16.0,High NPS,low,medium,1,66.66666666666666,50.0,50.0,100.0,low,100.0,100.0,0.0,0.0,0,100.0,0,No,yes,yes,
transcript_9,"""
     AGENT
     00:00
     Hello good afternoon.
     CUSTOMER
     00:07
     good afternoon
     AGENT
     00:10
     I'm calling from XYZ Corporation. My name is John and I'll be assisting you with your account today.
     CUSTOMER
     00:17
     Okay, hi John.
     AGENT
     00:20
     I just wanted to confirm that you've received the paperwork we sent over regarding your recent policy changes.
     CUSTOMER
     00:27
     Ah, yes. I got it last week.
     AGENT
     00:31
     Great! I just wanted to make sure you had a chance to review everything. Do you have any questions about the changes or would you like me to go over anything with you?
     CUSTOMER
     00:40
     No, I think I understand everything. It all looks good.
     AGENT
     00:44
     Alright, great! If you do happen to think of anything later, please don't hesitate to reach out to us. We're always here to help.
     CUSTOMER
     00:51
     Okay, will do. Thanks John.
     AGENT
     00:54
     You're welcome! Is there anything else I can assist you with today?
     CUSTOMER
     00:59
     No, that's all.
     AGENT
     01:02
     Alright, well thank you for your time today. Have a great day!
     CUSTOMER
     01:06
     You too, bye.
     AGENT
     01:09
     Bye.
     """,8.0,"The agent, John, was very helpful and ensured that I understood the policy changes, providing a smooth and efficient experience.",2026-02-26,none,,"The customer is calling to confirm receipt of paperwork and has no questions or concerns, indicating a routine and satisfactory interaction.",neutral,"The customer's language is showing no clear emotional charge (positive or negative), and the utterance is purely procedural or social, with routine acknowledgments and end-of-call politeness.",0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6266666666666666,0.86,0.2,"The agent, John, from XYZ Corporation, called the customer to confirm receipt of paperwork regarding recent policy changes. The customer confirmed receipt and understanding of the changes, and the agent offered assistance if needed in the future.",Policy Issuance/Setup,6.73,Policy Update,Policy & Profile Management,,,,13.979999542236328,John Smith,1167,104,2025-12-06,Insurance,5008,0.8,CASE-20251206-0009,Policy Service,call,0.58,Policy,Retail,false,Yes,16.0,High NPS,high,low,0,100.0,50.0,50.0,100.0,low,100.0,66.66666666666666,0.0,0.0,0,100.0,1,Yes,no,yes,
transcript_5,"""AGENT
     00:00
     Hello good afternoon.
     CUSTOMER
     00:07
     good afternoon
     AGENT
     00:10
     I'm calling from XYZ Corporation. My name is Emily and I'm reaching out to you regarding your recent purchase of our premium subscription.
     CUSTOMER
     00:20
     Oh, hi Emily. Yeah, I did purchase that. What's this about?
     AGENT
     00:25
     We appreciate your business and we're excited to have you on board. However, I noticed that we're missing some information from your profile. Could you please help me update that?
     CUSTOMER
     00:35
     What kind of information are you missing?
     AGENT
     00:40
     We're missing your company name and industry type. This information will help us provide you with more tailored services and support.
     CUSTOMER
     00:50
     Okay, my company name is ABC Inc. and we're in the tech industry.
     AGENT
     00:55
     Thank you so much for providing that information. I've updated your profile accordingly. Is there anything else you'd like to add or change?
     CUSTOMER
     01:00
     No, that's all. Thanks for reaching out, Emily.
     AGENT
     01:05
     You're welcome! We're always here to help. If you have any questions or concerns in the future, please don't hesitate to reach out. Have a great day!
     CUSTOMER
     01:10
     You too, thanks.""",8.0,"The agent, Emily, was helpful and efficient in updating my profile information, and provided clear explanations for the missing details.",2026-02-26,none,,"The customer is cooperative and polite throughout the conversation, and the agent is able to complete the task of updating the customer's profile. There is no indication of churn or dissatisfaction.",neutral,"The customer's language shows no clear emotional charge, and the utterance is a routine acknowledgment and end-of-call politeness.",0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6472222222222223,0.58,0.13,"Emily from XYZ Corporation called the customer to update their profile information, specifically company name and industry type, to provide more tailored services and support.",Profile & Address Updates,8.36,Missinginformation,Policy & Profile Management,,profileUpdated,Profile updated refers to the action of adding or modifying information in a customer's profile to ensure it is accurate and complete.,7.900000095367432,Liam Anderson,1299,117,2026-02-03,Insurance,5009,0.2,CASE-20260203-0005,Travel Insurance,call,0.1,Claims,Retail,true,No,16.0,High NPS,low,medium,1,100.0,50.0,50.0,100.0,low,100.0,66.66666666666666,0.0,0.0,0,100.0,0,No,yes,yes,
transcript_6,"""AGENT
     00:00
     Hello good afternoon.
     CUSTOMER
     00:07
     good afternoon
     AGENT
     00:10
     I understand you're calling about the denial of your recent claim. Can you please tell me more about what happened?
     CUSTOMER
     00:20
     Yeah... I don't understand why it was denied. I followed all the procedures and submitted all the necessary documents.
     AGENT
     00:30
     I apologize for the inconvenience. Let me check on the status of your claim. Can you please provide me with your claim number?
     CUSTOMER
     00:40
     It's #12345.
     AGENT
     00:50
     Thank you. I've checked on the status and it seems that there was an issue with the documentation. One of the required forms was missing.
     CUSTOMER
     01:00
     But I'm sure I submitted all the forms. I double-checked before sending them in.
     AGENT
     01:10
     I understand your concern. Let me escalate this issue to our quality assurance team. They will review your claim and get back to you within 3-5 business days.
     CUSTOMER
     01:20
     Okay... I hope they can resolve this issue quickly. I really need the coverage.
     AGENT
     01:30
     I completely understand. I'm going to provide you with a reference number for your escalation. It's #REF123. You can use this to track the status of your claim.
     CUSTOMER
     01:40
     Okay, thank you. I appreciate your help.
     AGENT
     01:50
     You're welcome. Is there anything else I can assist you with today?
     CUSTOMER
     02:00
     No, that's all. Thank you again.
     AGENT
     02:10
     You're welcome. Have a great day.""",7.0,"The agent provided a clear explanation for the claim denial and offered a solution by escalating the issue to the quality assurance team, which improved the customer's satisfaction.",2026-02-26,none,,"The customer is calling about a specific issue with their claim, and the agent is able to assist and provide a solution. The customer's tone is not angry or frustrated, and there is no mention of switching companies.",joy,"The customer expresses appreciation and gratitude towards the agent's help, indicating a positive emotional tone.",0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5966666666666666,0.86,0.38,"A customer called to inquire about the denial of their recent claim. The agent explained that a required form was missing, and the customer disputed this, claiming they had submitted all necessary documents. The agent escalated the issue to the quality assurance team, who will review the claim and respond within 3-5 business days. The customer was provided with a reference number to track the status of their claim.",Claim Status & Updates,8.36,Missinginformation,Claims & FNOL,,claimEscalated,Claim escalation refers to the process of forwarding a claim to a higher authority or specialized team for further review and resolution.,6.400000095367432,Lucas Moore,1032,106,2025-12-17,Insurance,5010,0.2,CASE-20251217-0006,Billing Support,call,0.1,Support,Retail,true,No,14.0,High NPS,low,medium,1,100.0,50.0,50.0,100.0,low,100.0,66.66666666666666,0.0,0.0,0,100.0,0,No,yes,no,
transcript_7,"""
     AGENT
     00:00
     Hello good afternoon.
     CUSTOMER
     00:07
     good afternoon. I'm calling about the missing information on my account. I've been trying to update it online but it's not going through.
     AGENT
     00:15
     I apologize for the inconvenience. Can you please provide me with your account number so I can assist you further?
     CUSTOMER
     00:22
     It's 1234567890.
     AGENT
     00:28
     Thank you. I've located your account. It seems like we're missing some identification documents from you. Can you please upload or fax them to us?
     CUSTOMER
     00:37
     I've already uploaded them. I've been trying to update my information for weeks now.
     AGENT
     00:43
     I apologize for the delay. Let me check on the status of your documents. (pause) It seems like our system is still processing your documents. I'm going to go ahead and escalate this issue to our back office team. They'll review your documents and update your account accordingly.
     CUSTOMER
     01:01
     Okay. How long is that going to take?
     AGENT
     01:06
     It should take around 3-5 business days. You'll receive an email notification once the update is complete.
     CUSTOMER
     01:13
     Alright. Thank you for your help.
     AGENT
     01:17
     You're welcome. Is there anything else I can assist you with today?
     CUSTOMER
     01:22
     No, that's all. Thank you.
     AGENT
     01:25
     You're welcome. Have a great day.
     CUSTOMER
     01:28
     You too.
     """,8.0,The agent's proactive escalation of the issue to the back office team and clear communication of the expected resolution timeline helped to alleviate the customer's frustration and improve their satisfaction.,2026-02-26,low,I've been trying to update my information for weeks now,"The customer is frustrated with the delay in updating their information, but the agent is able to resolve the issue and provide a solution, which reduces the risk of churn.",neutral,"The customer's language is showing no clear emotional charge (positive or negative), and the utterance is purely procedural or social, with routine acknowledgments and end-of-call politeness.",0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.615,0.83,0.24,"The customer called to report missing information on their account and difficulty updating online. The agent located the account, found missing identification documents, and escalated the issue to the back office team for review. The customer was told to expect an email update in 3-5 business days.",Claim Status & Updates,8.36,Missinginformation,Claims & FNOL,,pickupEscalated,Escalation to a higher authority or team to ensure the issue is resolved promptly.,11.319999694824219,John Smith,1476,111,2026-01-13,Insurance,5008,0.53,CASE-20260113-0007,Fraud & Risk,call,0.36,Risk,Retail,false,Yes,16.0,High NPS,medium,medium,1,100.0,50.0,50.0,100.0,low,100.0,66.66666666666666,0.0,0.0,0,100.0,1,Yes,no,no,
transcript_8,"""
     AGENT
     00:00
     Hello good afternoon.
     CUSTOMER
     00:07
     good afternoon. I'm calling because I want to make some changes to my policy. I'm surprised I didn't get a better deal when I signed up.
     AGENT
     00:15
     I apologize for any inconvenience. Can you please tell me more about the changes you'd like to make?
     CUSTOMER
     00:22
     Yeah, I want to remove my old car and add my new one. I just got a new car and I don't want to pay for insurance on a car I don't own anymore.
     AGENT
     00:30
     Okay, I can help you with that. Can you please provide me with the VIN number of the new car and the license plate number of the old car?
     CUSTOMER
     00:38
     Yeah, the VIN number of the new car is 1HGCM82633A004321 and the license plate number of the old car is ABC1234.
     AGENT
     00:47
     Alright, I've removed the old car from your policy and added the new one. However, I do need to let you know that this change will affect your premium.
     CUSTOMER
     00:55
     How much is it going to increase by? I'm not sure I want to pay more.
     AGENT
     01:02
     Let me check on that for you. (pause) Okay, it looks like your premium will increase by $20 per month.
     CUSTOMER
     01:10
     That's a bit more than I was hoping for. Can you see if there's any way to reduce the cost?
     AGENT
     01:17
     Let me see what I can do. (pause) Okay, I can offer you a discount if you agree to go paperless and receive your bills electronically.
     CUSTOMER
     01:25
     That sounds good. How much will that save me?
     AGENT
     01:32
     That will save you $5 per month.
     CUSTOMER
     01:39
     Alright, that sounds good. Go ahead and make the changes.
     AGENT
     01:45
     Alright, I've made the changes to your policy. You should receive an email with the updated information shortly. Is there anything else I can assist you with today?
     CUSTOMER
     01:52
     No, that's all. Thank you for your help.
     AGENT
     01:55
     You're welcome. Have a great day!
     """,7.0,"The agent was able to offer a discount for going paperless, which reduced the overall cost of the policy change.",2026-02-26,none,None,"The customer is calling to make changes to their policy, and the agent is able to assist them. The customer is not expressing any dissatisfaction or frustration with the service, and the issue is resolved successfully.",joy,"The customer expresses satisfaction and relief with the solution provided by the agent, showing genuine emotional happiness.",0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.4949999999999999,0.57,0.5,"The customer calls to make changes to their policy, removing their old car and adding their new one. The agent assists with the changes, but informs the customer that their premium will increase by $20 per month. The customer is offered a discount of $5 per month if they agree to go paperless, which they accept. The changes are made to the policy and the customer is emailed the updated information.",Coverage & Premium Review,7.72,Vehicle Change,Policy & Profile Management,,policyUpdated,Policy updated refers to the successful modification of an insurance policy to reflect new information or changes requested by the policyholder.,11.539999961853027,Benjamin Lee,1758,120,2025-09-29,Insurance,5002,0.55,CASE-20250929-0008,Technical Support,call,0.38,Support,Retail,true,No,14.0,High NPS,medium,medium,1,66.66666666666666,50.0,50.0,100.0,low,100.0,100.0,0.0,0.0,0,100.0,1,Yes,yes,no,
transcript_10,"""
     AGENT
     00:00
     Hello good afternoon.
     CUSTOMER
     00:07
     good afternoon. I'm calling to change my coverage levels and deductibles on my policy.
     AGENT
     00:14
     Okay, I'd be happy to help you with that. Can you please tell me a little bit more about what you're looking to change and why?
     CUSTOMER
     00:23
     Well, I've been with your company for a while now and I feel like I'm paying too much for my coverage. I want to lower my premiums.
     AGENT
     00:32
     I understand where you're coming from. Let me see what options we have available to you. Can you please confirm your policy number for me?
     CUSTOMER
     00:41
     It's 123456.
     AGENT
     00:46
     Okay, thank you. I've pulled up your policy. It looks like we do have some options to lower your premiums. We could increase your deductible or we could reduce your coverage levels. Which of those options sounds more appealing to you?
     CUSTOMER
     01:01
     I think I'd like to increase my deductible. How much would that save me?
     AGENT
     01:08
     If we increase your deductible to $1,000, that would save you around $20 per month on your premiums.
     CUSTOMER
     01:16
     That sounds good. Can you make that change for me?
     AGENT
     01:22
     Yes, I can do that. I just need to confirm a few details with you. Is that correct that you want to increase your deductible to $1,000 effective immediately?
     CUSTOMER
     01:31
     Yes, that's correct.
     AGENT
     01:35
     Okay, I've made the change. You should see the new premium amount on your next bill. Is there anything else I can assist you with today?
     CUSTOMER
     01:42
     No, that's all. Thank you for your help.
     AGENT
     01:46
     You're welcome. It was my pleasure to assist you. Have a great day.
     """,8.0,"The agent provided clear explanations and options for lowering premiums, and made the requested changes to the policy in a timely manner.",2026-02-26,none,None,"The customer is calling to make changes to their policy, but there is no indication of dissatisfaction or frustration with the service. The agent is able to assist the customer and resolve the issue, and the customer is polite and courteous throughout the conversation.",neutral,"The customer's language shows no clear emotional charge, and the utterance is a routine acknowledgment and end-of-call politeness.",1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.7222222222222222,0.69,0.29,"The customer called to change their coverage levels and deductibles to lower their premiums. The agent helped them explore options and they decided to increase their deductible to $1,000, which would save them $20 per month on their premiums. The agent made the change and confirmed the details with the customer.",Billing Issues & Corrections,1.5,Premiumreduction,Billing & Payments,,policyUpdated,"PolicyUpdated refers to the successful modification of an insurance policy's terms, coverage levels, or deductibles.",9.5600004196167,Mason Harris,1443,109,2025-11-08,Insurance,5011,0.36,CASE-20251108-0010,Underwriting,call,0.21,Underwriting,Retail,true,No,16.0,High NPS,medium,low,1,100.0,100.0,100.0,100.0,low,100.0,100.0,0.0,0.0,0,0.0,0,Yes,yes,no,
