Conversation Id,Date2,Date,Status,Escalated,Escalated_2,Escalation Reason,Abandoned,Abandoned_during_VA,Abandonment by customer - flag,Abandonment_Last_Completed_Stage,Authentication by VA success flag,Authentication by VA failure reason,AHT,AHT_Bucket,MPU_AHT,Verification_AHT,Intent_Identified_1,Intent_Identified_2,Intent_Identified_3,Intent_Identified_4,Intent_Identified_5,Intent_Identified_N,Intent_Identified_1stattempt_1,Intent_Identified_1stattempt_2,Intent_Identified_1stattempt_3,Intent_Identified_1stattempt_4,Intent_Identified_1stattempt_5,Intent_Identified_1stattempt_N,MPU_Intent_Identified_Flag,MPU_Intent_Identified_1stattempt_Flag,Here_for_MPU_Flag,Out of scope intent,MPU_Eligible_flag,MPU_Case_Closure,Number of Prompts from AI,Number of Successful Prompts from AI,Missed_Utterance,Missed_Utterance_Auth,Missed_Utterance_IntentIdentification,Missed_Utterance_MPU,AI_Prompts_Auth,AI_Prompts_IntentIdentification,AI_Prompts_MPU,Handled by Agentic AI flag,Retry of authentication flag,Retry of MPU flag,Auth_Retry_Prompt,MPU_Retry_Prompt,Half_hourly_interval,Caller_Type
MW67QNWJAJYAA,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,User asked about In Domain Negative - help_submit_pa,,,0,,1,,,>30 sec,32,5,I2,,,,,,I2,,,,,,1,1,1,1,Eligible,1.0,25,24,3,0,0,3,13,3,6,0,0,0,,,1,Residential
MW67QPXFYKAAA,2025-09-09 00:00:00,2025-09-09 00:00:00,OPEN,Out of Scope Live Agent Handoff,During Authentication,Touchpoint is ePA Failed Sent,1.0,,1,ANI based auth,0,R2,0.0,5-30 sec,12,6,MPU,,,,,,MPU,,,,,,0,0,0,0,,,21,17,1,0,1,0,9,3,6,0,0,1,,Eligibility Check,3,Residential
MW67QQQ6IKAAA,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,Out of Scope Live Agent Handoff,After Authentication (MPU Only),User chooses More Help in Password reset,,,0,,0,R3,18.0,5-30 sec,8,5,MPU,,,,,,MPU,,,,,,0,0,0,0,,,28,27,1,1,0,0,16,3,6,0,1,0,Phone number,,10,Residential
MW67QTSTQJYAA,2025-09-09 00:00:00,2025-09-09 00:00:00,OPEN,Out of Scope Live Agent Handoff,After Authentication (MPU Only),User was not happy with the information provided by Amelia.,1.0,,1,Address match,1,R5,184.0,>30 sec,174,5,Other,,,,,,Other,,,,,,1,0,1,1,Eligible,0.0,27,25,0,0,0,0,15,3,6,1,0,1,,Reason for MPU,11,Residential
MW67RCNKQJYAA,2025-09-09 00:00:00,2025-09-09 00:00:00,CLOSED,false,false,,,,0,,1,,53.0,>30 sec,43,7,MPU,,,,,,MPU,,,,,,1,1,0,0,Eligible,1.0,25,18,4,1,1,2,13,3,6,1,0,0,,,12,Residential
MW67RDQCYKAAA,2025-09-11 00:00:00,2025-09-11 00:00:00,CLOSED,false,false,User selected Pick form in main menu,,,0,,1,,100.0,>30 sec,90,5,I3,,,,,,I3,,,,,,1,1,1,1,Ineligible,0.0,25,23,2,0,1,1,13,3,6,1,0,1,,Pickup details,13,Residential
MW67RH6FQJQAA,2025-09-11 00:00:00,2025-09-11 00:00:00,CLOSED,false,false,,,,0,,1,,25.0,5-30 sec,15,8,MPU,,,,,,MPU,,,,,,1,1,1,0,Eligible,0.0,19,13,4,1,1,2,7,3,6,1,1,0,Phone number,,13,Residential
MW67RLTXAKAAA,2025-09-11 00:00:00,2025-09-11 00:00:00,CLOSED,false,false,,1.0,1.0,0,,0,R3,240.0,>30 sec,230,6,MPU,,,,,,MPU,,,,,,0,0,0,0,,,22,16,1,0,1,0,10,3,6,0,1,0,Address,,14,Residential
MW67RNUEQKAAA,2025-09-11 00:00:00,2025-09-11 00:00:00,OPEN,false,false,User chooses Something Else route in form main menu,1.0,,1,Intent captured,1,,162.0,>30 sec,152,5,I3,,,,,,I3,,,,,,0,0,0,1,,,29,29,3,1,1,1,17,3,6,1,0,1,,Eligibility Check,14,Residential
MW67RQRDYKAAA,2025-09-11 00:00:00,2025-09-11 00:00:00,OPEN,false,false,,,,0,,1,,30.0,5-30 sec,20,8,MPU,,,,,,MPU,,,,,,1,0,1,0,Eligible,1.0,21,15,1,1,0,0,9,3,6,0,1,0,Address,,35,Residential
MW67RQXDQJYAA,2025-09-09 00:00:00,2025-09-09 00:00:00,OPEN,In Scope Live Agent Handoff,In Scope Live Agent Handoff,User chooses Something Else route in main menu,1.0,,0,,1,,37.0,>30 sec,27,5,I4,,,,,,I4,,,,,,0,0,0,1,,,11,4,2,1,0,1,4,2,2,1,1,0,Phone number,,15,Residential
